RUC,company,total
8-NT-1-22299,AUTORIDAD DEL CANAL DE PANAMA,12175
312291-1-411723,BEKER S A,12084
656-413-132700,O D PANAMA  S A,11884
36452-64-263512,COMPUTACION MONRENCA PANAMA S A,11808
2003491-1-740636,FOR AUTO PANAMA  S A,11804
30444-139-238858,COMERCIAL DE MOTORES S A,11778
180755-1-392091,"TEX FASHION GLOBAL,S.A.",11758
267-110-58681,MOTTA INTERNACIONAL S A,10820
186-505-46878,PRODUCTOS SUPERIORES S A,10797
1045467-1-546234,AUSTRAL LIMITED S A,10692
61510-23-349564,BAVARIAN MOTOR PANAMA S A,10521
53808-36-329105,KIMBERLY CLARK CENTRAL AMERICAN HOLDINGS,10490
82-30-15216,NESTLE PANAMA S A,10372
2403790-1-2258,CIA.UNIV. DE PERF. FRANCESA,10330
624505-1-455354,GRUPO OCZORO INTERNACIONAL  S A,10300
143-95-36679,PANAMA ELECTRIC AND MACHINERY CORP,10024
44-242-5856,COCA COLA FEMSA DE PANAMA   S  A,9917
833-430-100538,KENDALL S A,9777
189331-1-393592,ATID S A,9767
937-138-19820,CENTRO INDUSTRIAL S A,9740
2571304-1-829520,NIPPON LOGISTIC CENTER S.A,9671
1184999-1-579029,PORTEX LOGISTICS  S A,9566
667-78-118405,DROGUERIA RAMON GONZALEZ REVILLA S A,9522
21094-39-189991,SPORTLINE AMERICA INC,9392
541848-1-441803,EMPRESAS BICOCAS S A,9335
548-43-115880,QUIMIFAR S A,9329
196-8-47222,CORPORACION IMPA DOEL S A,9294
722-40-141442,SONY INTER AMERICAN  S A,9262
604411-1-452225,ECONORED DE PANAMA S A,9246
50940-2-319669,PANAMA PORTS COMPANY S A,9126
56635-2-838,CHIQUITA PANAMA L.L.C.,9011
283658-1-407733,PAYLESS SHOESOURCE PANAMA S A,8987
48870-93-312745,GLOBAL BRANDS PANAMA S A,8872
1022139-1-540666,CRISTIAN LAY PANAMA  S A,8747
3394-105-50823,GRUPO SPIEGEL,8739
14704-236-142773,JERUSALEM DE PANAMA S A,8643
1996493-1-739483,PANATOOLS  S A,8629
53688-13-328636,A AMANI S A,8553
902679-1-515225,TAMEK SA,8433
533-555-116945,H TZANETATOS INC,8319
2645251-1-840052,"BOX PANAMA, S.A.",8310
2234879-1-778664,ALAMEDA PANAMA S.A.,8275
2085001-1-754015,39B INVESTMENTS S.A,8273
36986-150-265674,CENTRAL DE PINTURAS S A,8230
121-472-33557,CESAR ARROCHA GRAELL Y COMPA#IA S A,8229
57225-10-338205,ECOLAB S A,8180
24845-178-214984,IMPORTADORA DEL ESTE S A,8141
1474958-1-642725,TECNICA UNIVERSAL DE PANAMA (TCUN PANAMA),8127
30815-22-240563,INMOBILIARIA DON ANTONIO S A,8083
990776-1-534151,LOS CUATRO  4  UNIDOS,8078
1178871-1-577745,L BEL PARIS  S A,7974
3-102-260,CERVECERIA NACIONAL S A,7962
1644764-1-674450,FASTENAL PANAMA S A,7956
203-438-49939,VARELA HERMANOS S A,7899
2325346-1-2195,DISTRIBUIDO CUMMINS DE PANAMA,7853
12150-178-121154,ELECTRICIDAD CASTELLANOS S A,7853
438-341-94672,MOTORES JAPONESES S.A,7830
24434-1-367344,MAYOREO FERRETERO S A,7825
1647259-1-674887,SUKIMOTOR  S A,7781
6709-169-76320,TOCHISA DE PANAMA S A,7757
58630-28-10,MARTIN BROWER Y COMPA?IA,7750
1075137-1-553125,BIMBO DE PANAMA S  A,7731
55250-11-333107,EL PUNTO PODEROSO S A,7526
130-377-34706,COMPA,7331
51070-52-320234,IMPORTADORA Y EXP HERMANOS GAGO S A,7229
1096-99-113799,DISTRIBUIDORA LEWIS S A,7180
51613-51-321747,ALEMAUTOS PANAMA S A,7180
2506356-1-819710,"AMERICAN DESIGNER FASHION, S.A",7078
8-NT-1-12542,CAJA DEL SEGURO SOCIAL,6857
4265-60-58061,LOGISTICA S A,6822
69-554-21245,COMPA?IA CHIRICANA DE AUTOMOVILES  S  A,6807
549-288-119651,AIRCO S A,6709
147-569-40208,PRODUCTOS ALIMENTICIOS PASCUAL S A,6663
146-581-38100,F ICAZA Y COMPA IA S A,6589
22356-138-200249,DURMAN ESQUIVEL S A,6551
408564-1-425611,"RIFAT,S.A.",6547
6685-162-76130,ALIMENTOS DEL ISTMO S A,6464
33949-200-253956,MENAFAR S A,6439
510-302-109858,IMPORTADORA DE PLOMERIA S A,6420
1091-157-111481,ULTRAMAR COMMERCIAL CORP,6377
736-217-135044,HERMANOS ZAKAY S A,6330
1509875-1-649423,PANAMA NETBUY  S A,6224
343-501-75237,CALOX PANAME A S A,6117
31180-2-242100,GLOBENET COURIER S A,6107
171-377-40633,AGENCIAS ESCOFFERY S A,6055
67-501-20719,UNILEVER DE CENTROAMERICA S A,5975
11422-77-114867,CERRO PUNTA S A,5958
37279-2-266781,HOT EXPRES INC,5909
36193-83-262625,GARMING S A,5901
6490-23-74806,LG ELECTRONICS PANAMA S A,5855
1821788-1-709078,SHIPPING SHOP  S A,5852
1469541-1-641676,DISUR PANAMA  S A,5842
778-454-138120,CONCEPT SPORT  S A,5796
6553-65-75203,PLOMERIA Y FERRETERIA S A,5776
12561-16-124551,SUPER BARU S A,5762
603-203-124985,AUTO CENTRO S A,5712
1080323-1-554308,EMPRESAS CARBONE  S A,5705
18592-149-171941,PRODUCTOS DE PRESTIGIO S A,5699
29104-73-234002,COMPA#IA PANAME#A DE MEDICAMENTOS S A,5655
1075684-1-553258,INVERSIONES VANCOUVER,5649
696272-1-467757,ROCAYOL  SAFETY  &  INDUSTRIAL  CENTER  S A,5646
257-563-58968,FAUSTO SALAZAR S A,5594
8864-123-91468,T SHIRTS INTERAMERICA S.A,5578
1068434-1-551451,ANIXTER PANAMA  S  A,5566
297-411-65651,INDUSTRIAS LACTEAS S A,5541
356-19-77860,"SUPERMERCADOS XTRA, S.A.",5508
1818454-1-708570,TRANSPORTE MASIVO DE PANAMA  S A,5495
2151972-1-765438,RAPIDFLOW ENTERPTISES S A,5486
2138231-1-763279,DIFERMODA COMMERCIAL S.A,5396
682073-1-464676,GRUPO TODO A DOLAR S A,5350
553-231-100703,LUMICENTRO S A,5294
26856-2-225997,IMPORTADORA Y EXPORTADORA NIMAR  S  A,5174
351997-1-417655,COMERCIAL POZUELO PANAMA S.A.,5067
1300258-1-605400,HUAWEI TECHNOLOGIES PANAMA  S  A,5049
30394-2-238626,CABLE ONDA S.A.,4901
4211-2-57599,DEL MONTE DE PANAMA S A,4854
19740-116-179881,I H INTERNACIONAL S A,4751
10790-65-109693,COSENCO S A,4747
121-321-32351,TAGAROPULOS S A,4714
2518012-1-821375,MT FOOD S.A,4701
122-66-32044,GBM DE PANAMA S A,4698
1968567-1-734899,FURNITURE CITY  S A,4693
1859906-1-715180,NTERNATIONAL FRANCHISE FOOD SERVICES (IFFSSA) S A,4671
275-308-60860,CENTRO DE AGENCIAS S A,4634
226121-1-399165,LANCO PANAMA  S  A,4546
26378-48-223629,GABYSOL S A,4530
529409-1-439947,LOPUS FINANCIAL INC,4529
59849-1-372370,POWER GEN S A,4490
551588-1-443488,SPIRITS WINE GROUP INC,4416
194-127-47232,AZUCARERA NACIONAL S A,4407
1489734-1-645337,ALPLA PANAMA   S A,4346
28995-39-233664,ZENTRUM AUTO PARTS CORP,4296
1841-85-35470,MODAS Y DEP EL DORADO S A,4281
795370-1-493130,IMPORTADORA PRABACH S  A,4279
28726-153-232616,DISTRIBUIDORA XTRA S A,4272
58630-28-10,MARTIN BROWER Y COMPA,4231
1960069-1-733419,MULTISERVICIOS JIN  S A,4191
334-348-8394,EMPRESAS DARIEN S A,4119
655-128-131705,CANON PANAMA S A,4115
433004-1-429069,WORKOUT PANAMA INC,4070
29672-116-237038,MANICO S A,4037
1816-150-35131,EMPAQUES DE COLON S A,4014
1140106-1-569382,BINAT INTERINVEST  S  A,4005
724675-1-473907,HIDROCA PANAMA S A,4003
2045129-1-747045,WARREN PANAMA S.A,3998
63640-2-355602,INVERSIONES PARNA S A,3993
155655493-2-2017,"MINISO PANAMA, S.A.",3938
3-727-1035,GENESIS GALINDO,3935
1299-42-117408,INSTITUTO SMITHSONIAN DE INVESTIGACIONES TROPICALES,3909
630244-1-456318,PRINT   X   S A,3875
537091-1-441028,MAC STORE CORP,3871
963942-1-528502,YOYTEC COMPUTER SA,3871
31365-136-242910,PRODUCTOS ROCHE PANAMA S A,3864
1816794-1-708277,JAN DE NUL PANAMA S A,3864
206159-1-396100,TECH FASHION STUDIO S A,3860
155648085-2-2017,LIEBHERR PANAMA S.A,3842
16831-38-159113,MASTER DIRECT PANAMA  S  A,3809
4852-8-62703,PARSA S A,3799
155591597-2-2015,"MAXINDUSTRIAS, SA",3770
1288380-1-602434,PROCESADORA MONTE AZUL  S  A,3745
355484-1-418157,LA ARENOSA FRUIT COMPANY S A,3737
912255-1-517351,ELIAKIM  S A,3709
2069791-1-751271,HOPSA S A,3706
31358-73-242841,NIZA INTERNACIONAL S A,3690
2451531-1-812338,V A COMPANY,3672
574-14-102616,AGENCIAS MOTTA S A,3668
2115541-1-759299,ROUND 1 S.A,3665
404360-1-424942,ALENOL S A,3593
204-394-49730,RODELAG S A,3567
19220-118-175433,MEDIEQUIPOS S A,3565
833-341-100178,INDUSTRIAS PANAM S A,3523
607-24-124369,KOMEX INTERNACIONAL S A,3519
1692370-1-684786,INVERSIONES PANAMERICANAS DE CAFE DE PANAMA  S A,3500
18993-78-174370,DISTRIBUIDORA G DE P S A,3470
57983-56-340439,ELEKTRA NORESTE S A,3458
1739598-1-694071,COMPRAS POR INTERNET,3446
42928-69-289713,SOCIEDAD DE ALIMENTOS DE PRIMERA S A,3445
685175-1-465251,IMACASA  PANAMA  S A,3440
67-36-20135,PANAMA AUTO S A,3437
829408-1-501623,SAINT HONORE PANAMA S.A.,3415
822226-1-500338,DOLLAR MALL S A,3399
30370-67-238459,CARNES DE COCLE S A,3381
708-53-120389,DIMAR S A,3378
1039370-1-544651,FRUVERTROPIK  S A,3378
268154-1-405665,"VISA HOLDING,S.A.",3377
41883-11-285650,ADIDAS LATIN AMERICA S A,3372
845-294-101492,MEDIMEX S A,3362
69-554-21245,COMPA,3361
587-61-122319,DEPORTES JIMMY S A,3353
1321611-1-610672,DE JUGUETES  S  A,3346
21077-51-189871,RICOH PANAMA S A,3337
46004-187-302083,CABLE & WIRELESS PANAMA S A,3336
860-537-101447,TECNOLOGIA APLICADA S A,3327
624503-1-455353,PEDERSEN FINE FOODS S A,3321
428-228-91072,"LOREAL PANAMA COMERCIAL, SA",3302
1156711-1-572954,ESTEFALAY  S A,3280
1466-137-29216,UNIPHARM (PANAMA) S A,3228
2230713-1-777965,GRIFFITH FOODS SA,3189
984825-1-532934,RGH PANAMA  S A,3167
26128-100-222410,ISTHMIAN TRADING CORPORATION,3165
929973-1-521434,PANLOGISTICS GROUP  S A,3103
320-188-69898,INTERNACIONAL BIO FARMACEUTICA S A  ( INTERFARMA  S A ),3094
58275-74-341222,BUSINESS CENTER NETWORK INC,3088
1846464-1-712877,POLYMER S A,3079
1080900-1-554425,DAVID EXPRESS  S A,3072
902-308-105023,FRANQUICIAS PANAME,3065
2053284-1-748368,MAIL ENTERPRISES TOC INC,3063
11485-34-115332,MAQUINARIAS Y REPUESTOS AGRICOLAS S A,3036
657635-1-460690,LETERAGO   S A,3025
231753-1-400109,WURTH CENTROAMERICA S A,3021
1355181-1-618329,KAESER COMPRESORES DE PANAMA  S A,2996
1767235-1-699413,REFRI STORE S A,2985
2218517-1-776088,FIFTH AVENUE COMMERCIAL,2980
43085-133-290460,CEMENTO BAYANO S A,2972
36845-115-265065,COMPULAB S A,2960
894-57-103790,PRODUCTOS TOLEDANO  S A,2959
49930-2-316585,ADVANCED SYSTEMS SUPPLY S A,2939
709-282-117089,ALIMENTOS CARNICOS DE PANAMA (ALICAPSA) S A,2917
155629293-2-2016,"BUCO Y MAS, S.A.",2889
155591059-2-2015,FOOD SOLUTIONS INC.,2887
16485-10-156528,AGENCIA PALM LOPEZ S A,2886
1585843-1-663398,TRANE SYSTEMS SOLUTIONS OF PANAMA  INC,2884
1019-116-108110,JOHNSON AND JOHNSON PANAMA S A,2878
30170-22-237573,RAENCO INTERNACIONAL S A,2862
50410-84-318196,IMPORTADORA AMERICANA DE CHITRE S A,2858
1179329-1-577842,ABONOS DEL PACIFICO S A,2856
748965-1-479629,FERGUSON PANAMA  S A,2832
1241797-1-591364,RESANSIL RENTAL  S A,2815
27770-59-229110,HERRAMIENTAS Y TORNILLOS S A,2809
1269688-1-597454,COCINAS INDUSTRIALES  S A (COINSA),2802
1599533-1-666059,DISTRIBUIDORA HUNTER  S A,2797
1687730-1-683745,BEX  SOCIEDAD ANONIMA,2794
5044-11-64201,JURADO Y JURADO S A,2780
2268232-1-784684,EQUIPOS COAMCO S.A,2776
155616202-2-2015,"BOX PANAMA 10, S.A.",2763
1048-240-113266,PARTES DIESEL S A,2761
555-328-101285,CERVECERIA PANAMA S A,2754
140492-1-384250,REPRESENTACIONES IDEALES S A,2747
45090-108-298601,MEDICAL DEPOT S A,2726
388-158-83518,FERVAL PHARMACEUTICAL INC  S A,2726
902679-1-515225,"TAMEK, S.A.",2721
307930-1-411029,GARRARD COMMERCIAL S A,2717
206-357-50180,ACETI OXIGENO S A,2715
11581-341-116139,CENTRO DE PINTURAS GLIDDEN PROTECTO S A,2709
155588748-2-2014,PROMO GLOBAL CORP. SA,2704
638045-1-457554,SPORT WEAR CORPORATION  S A,2701
1425099-1-632768,HADEEL  INVERSIONES S A,2701
881723-1-511204,IMPELSA DE PANAMA S A,2684
1201394-1-582193,SERVICIOS Y VENTAS INTERNACIONALES  S A,2668
580-466-120204,PRODUCTOS LA DO?A S A,2663
665419-1-461863,MONTERREY  SHOES  CORP,2654
560-15-117738,CREDITOS Y SERVICIOS S A,2637
11826-175-118049,EUROPERFUMERIA S A,2636
898235-1-514370,HAFUDA S A,2628
1137-49-113085,TRANSPORTES HERCULES S A,2625
2508065-1-2334,LUXURY GOODS PANAMA S. DE RL A,2616
42973-2-290057,ILUMITEC DE PANAMA S A,2608
9434-2-96450,BALTIMORE SPICE PANAMA S A,2578
21094-39-18991,"SPORTLINE AMERICA,INC",2573
45910-31-301731,QUIFAR INTERNATIONAL S A,2572
155616724-2-2015,PREMIUM RUSH SHOP,2562
31952-17-245574,FILTROS CAROSSI S A,2562
1914-351-36423,INVERSIONES SAGRAV S A,2546
2369706-1-800512,TRENDSPOTS PTY CORP,2543
53389-21-327631,ELEKTRA PANAMA S A,2542
2645251-1-840052,EBOX EXPRESS S.A,2524
2304182-1-790334,INVERSIONES NORTEC S A,2522
629489-1-456185,EL RASTRO DE ALESANDRIA S A,2507
865-524-103137,DISTRIBUIDORA MUSICAL S A,2476
2236582-1-778933,"ADOC DE PANAMA, S.A.",2476
412487-1-426135,MOTOPARTES MPH S A,2475
11524-2-115657,PETROLEOS DELTA S A,2471
502-322-106360,CIA LEVAPAN DE PANAMA S A,2445
1592050-1-664701,WADIE  S A,2439
825-543-101039,PINTURAS DEL ISTMO S A,2424
155595377-2-2015,"DENIM RETAIL GROUP, SA",2420
603692-1-452119,NOVEDADES EL DOLAR DE PASO CANOAS,2419
185-310-46305,COMPA#IA ATLAS S A,2399
35438-63-260022,TRASA THERMO KING DE PANAMA S A,2389
155624970-2-2016,CALZASHOES INC,2371
27011-42-226840,FEAX INTERNATIONAL S A,2367
27621-11-228669,DISTRIBUIDORA MARINER S A,2359
693864-1-1196,CONSTRUCTORA NORBERTO ODEBRECHT S A,2357
849508-1-505051,GWY SERVICES CORP,2348
2175387-1-769455,FLORES DEL ISTMO S A,2346
1824466-1-709546,FRIGOSERVICE INC,2345
73-561-21585,SERVICIOS ELECTRICOS S A,2344
151189-1-385983,BERING MOTORS S A,2337
349-420-75483,SANBORNS PANAMA S A,2315
2205545-1-774045,CASA JUAN SIU S A,2313
2176051-1-769570,SELECT FLOWERS SA,2311
2885-2-45956,ELEMENTOS INDUSTRIALES S A,2307
381935-1-421833,"JLS GROUP, INC",2306
2579686-1-830821,MOTOR PLUS PANAMA S.A,2302
8-NT-1-12542,CAJA DE SEGURO SOCIAL,2290
2022529-1-743582,GLOBAL MEDICAL LOGISTICS S A,2290
1017634-1-539724,LOUIS VUITTON PANAMA  INC,2289
5-305-848,ISAAC BRANDON Y BROS INC,2283
2175419-1-769459,PREMIUM FLOWERS SA,2282
759-168-16667,PETROTERMINAL DE PANAMA S A,2272
155654857-2-2017,ADDIB S.A.,2272
2261281-1-783378,KIDS REPUBLIC S.A.,2271
277314-1-406896,"BIO LAB INTERNACIONAL,S.A.",2261
1019-225-108400,PETROLERA NACIONAL S A,2261
155641112-2-2016,"C.I. GRUPO LA MARQUETA, S.A.",2259
89025-1-376845,CREACIONES PUBLICITARIAS S A,2256
31844-219-245108,METRO TRADING IMPORTED CORPORATION S A,2237
53602-2-328345,ERICSSON DE PANAMA S A,2236
934269-1-522345,AGREGADOS Y CONCRRETOS  S A  AGRECONSA,2224
1485945-1-644709,CORPORACION INTERNACIONAL DE ALIMENTOS,2215
1693988-1-685146,BOSTON CORP   S A,2211
2256253-1-782458,G SONIC S.A,2180
310-2-66830,ABERNATHY S A,2170
922445-1-519669,SUNBORN  CORP,2161
32500-149-248001,AGRO PRO PANAMA S A,2151
5977-19-71425,DIC S A,2137
2590685-1-2453,MONDELEZ PANAMA S DE RL,2128
2550142-1-826264,"EXPOFLORES, SA",2121
32812-2-249262,IMPORTADORA VIRZI S A,2119
1242591-1-591558,PARTS TRADING PANAMA INC,2114
626-569-125694,MEXICHEM PANAMA S A,2108
42599-2-288539,TETRA PAK DE PANAMA S A,2103
57983-2-340436,EMPRESA DE DIS ELECTRICA METRO OESTE S A,2099
213602-1-397358,ALA S A,2084
61439-29-349382,AQUATEC PUMP SPA S A,2078
882588-1-511387,YAAL  S A,2074
315242-1-412166,FATY  S A,2072
744444-1-478544,BOQUETE EXPRESS  S A,2058
1950151-1-731699,MONTACARGAS SERV IMAN S A,2054
4711-2-61584,REPUESTOS INTERNACIONALES S A,2046
54544-90-331144,MARCAS EXCLUSIVAS S A,2045
155620166-2-2015,HARD DISCONT PANAMA S.A,2026
155609709-2-2015,BBH SA,2026
522-584-113262,V.V. AUTOS PANAMA S.A.,2018
1122487-1-564804,SUBARU DEL CANAL S A,2012
85443-1-376232,"RAPID MAIL, S.A.",2007
1643835-1-674259,TIENDAS Y MERCADEO  S  A,2003
155605802-2-2015,BLINKER PANAMA S.A.,2003
213618-1-397361,"FORMICA DISTRIBUTION CENTER,S.A.",1995
29192-12-234284,GOLD MEDAL S A,1993
193441-1-394228,INTERGLOBE TRADING CONSULTING SERVICES,1993
1935730-1-728924,MACKDASY COMPANY  S A,1983
727-146-119991,CIA PANAME#A DE AIRE ACONDICIONADO S A,1973
155605892-2-2015,SKECHERS PANAMA LLC,1972
542-299-13868,DROGUERIA SARO S A,1967
4307-162-58368,ETHNOR DEL ISTMO S A,1961
318-490-70786,SONITEL S A,1950
538-130-114134,FERTILIZANTES DE CENTROAM S A,1938
1556390-1-658256,INTACO PANAMA S.A.,1931
33159-58-250697,AVIPAC INC,1923
325-184-70973,INDUSTRIAS PANAMA BOSTON S A,1917
1228079-1-587946,OPEN BLUE SEA FARMS PANAMA S A,1915
862412-1-507446,KRYSTAL LOGISTICS PANAMA  S A,1914
193-426-48244,GLAXOSMITHKLINE PANAMA S A,1911
1820811-1-708929,HAGE BROTHER  S A,1910
155646566-2-2017,"ROCKET GROUP, S.A.",1909
395593-1-423610,CENTRO COMERCIAL EL DOLLAR 1 2 3 4 5 S A,1903
126-347-3293,BAYER S A,1899
38885-24-273272,TRACTOAMERICA DE PANAMA S A,1892
2238436-1-779251,GOURMET MANAGEMENT PANAMA INC,1890
35226-2-259295,IMPORTADORA DE BATERIAS S A,1879
535-3-13751,CORP   DEL PRES  DE LA IGLESIA DE JESUCRISTO LOS SANTO ULT  DIA,1877
31318-33-242633,DISTRIBUIDORA UPIM S A,1872
169-299-42313,COMPA?IA CLIMATIZADORA S A,1867
44542-50-296269,DECO AUTO S A,1862
1034-189-113273,DISTRIBUIDORA DEL PACIFICO S A,1860
55713-78-334206,MAJE INTERNATIONAL CORPORATION,1849
37754-34-268790,EXTRALUM DE PANAMA S A,1839
399317-1-424107,BOLI & COMPANY LTD   S A,1838
27499-23-228304,GRUPO TIESA S A,1835
45008-12-298240,SUPER COSECHAS S A,1822
203004-1-395633,"SIKA PANAMA,S.A.",1818
40494-32-279771,JASPE ROCK S A,1815
2605397-1-834516,"REPUESTOS ALTAGAMA, SA",1813
27115-97-227181,DATASERVE S A,1811
456-145-98136,TRANSPORTES Y EQUIPO S A,1806
18858-158-173630,AROSEMENA TECNICA AGROINDUSTRIAL S A,1801
288-16-63650,REPRESENTACIONES ARROCHA S A,1798
420368-1-427273,LATICRETE DE PANAMA S A,1795
28020-53-229934,MULTITEK INTERNACIONAL S A,1794
936925-1-522843,PANAPODE IMPORT & EXPORT S A,1794
1114423-1-562931,MOHINANI GROUP  S A,1790
28919-34-233398,COMPA#IA DISTRIBUIDORA JEMA S A,1789
2426707-1-808646,HOGAR Y DECORACION S.A,1780
1853941-1-714278,TOR CANAL  S A,1777
1859906-1-715180,INTL FRANCHISE FOOD SERVICE SA,1776
1603854-1-666821,CENTRAL AMERICA APPLIANCE DISTRIBUTORS (CAD)  CORP,1774
7322-57-80549,BDF PANAMA S A,1772
1541-377-30966,ELECTRO SISTEMAS DE PANAMA S A,1770
28855-85-233149,MANAGEMENT INFORMATION SYSTEM S A,1769
155591226-2-2015,SIMLER BUSINESS S.A.,1768
2074288-1-752057,TIME OUT PANAMA S.A,1760
1793156-1-704051,EPIROC CENTRAL AMERICA S.A,1759
48536-20-311170,IMPORTADORA TRANSMUNDI S A,1748
1515224-1-650430,SHOPING CENTER BUILDING  SOCIEDAD ANONIMA,1748
898-241-102416,PRICESMART PANAMA,1737
1375546-1-622612,MATCO INTERNACIONAL S A,1730
17540-120-164909,ARCE AVICOLA S A,1729
66329-1-373341,LINA CORPORATION INC,1714
1054135-1-548315,IMAN MBE GROU  S A,1711
337-297-72453,TAMBOR S A,1708
882-597-101619,BONAVEL S A,1705
47127-126-306107,TAGAROPULOS PARTS DISTRIBUTER,1705
500-232-109086,PRODUCTOS KIENER S A,1704
155616724-2-2015,EAGLE EYE ENTERPRISE,1694
1620244-1-670110,HIMOINSA PANAMA S  A,1685
2178522-1-2045,DRAEGER PANAMA COMERCIAL S,1683
36549-17-263817,BIO MATERIALES S A,1680
26584-21-224614,ACCESORIOS INDUSTRIALES S A,1677
8-NT-1-13653,MINISTERIO DE SALUD,1671
2281591-1-786964,TRAKOBEN CORP,1667
2978-2-46909,CORPORACION LA PRENSA S A,1658
1788824-1-703291,SERVI COASTER S A,1656
436-287-95110,PRAXAIR PANAMA S.A.,1653
970-391-20447,PAK AL INTERNACIONAL S A,1652
62013-103-350949,FERTILIZANTES SUPERIORES S DE R L,1646
2195327-1-772450,"NUNI FASHION, S.A.",1645
33739-33-253068,METALES PANAMERICANOS S A ( METALPAN),1644
1892251-1-721154,FASHION RUNWAY  S A,1644
1-720-936,ALONSO BANARD FRANCIS/KAV SA,1642
2543634-1-825344,"SHALABIMALL, SA",1635
2050164-1-747887,TRANEXPA S A,1629
63435-71-354868,CASA DE MATERIALES S A,1620
1671916-1-679880,COMPANY NEW EVOLUTION  S A,1615
12996-91-128537,PLASTICOS GENERALES S A,1613
40859-120-281428,ITALGRES PANAMA S A,1610
2362184-1-799470,IHO ESPACIOS LATINOAMERICA,1602
1140-361-117549,MAFALDA S A,1601
277906-1-406991,MOHNAD S A,1601
49809-23-316239,INTERKLEAN DE PANAMA S A,1600
1616522-1-669428,TOMY Y GISELLE  S A,1598
1747809-1-695691,AC1 SUPPLY PANAMA S A,1598
1736687-1-693511,MALAK  S A,1596
155622213-2-2016,"NADINE PARTS PANAMA, SA",1591
